EntrezGeneID,Length,MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1,MCL1-DH_BC2CTUACXX_CAGATC_L002_R1,MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1,MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1,MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1,MCL1-DL_BC2CTUACXX_ATCACG_L002_R1,MCL1-LA_BC2CTUACXX_GATCAG_L001_R1,MCL1-LB_BC2CTUACXX_TGACCA_L001_R1,MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1,MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1,MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1,MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
497097,3634,8.77807712953536,8.2336196767597,6.04439411935845,7.89481776330794,8.47167521439204,8.16992500144231,0,0,0,0,0,0
100503874,3259,1,0,1,1,0,2.32192809488736,0,0,0,0,0,0
100038431,1634,0,0,0,0,0,0,0,0,0,0,0,0
19888,9747,1,1,0,0,0,0,3.4594316186373,2,3.4594316186373,1.58496250072116,0,0
20671,3130,6.74146698640115,7.51569983828404,6.37503943134692,6.7279204545632,5.4594316186373,6.37503943134692,4.08746284125034,4.70043971814109,4.24792751344359,3.16992500144231,2,3.4594316186373
27395,4203,8.27612440527424,7.876516946565,8.40087943628218,8.2336196767597,8.18487534290828,8.08214904135387,9.13185696060879,8.8610869059954,8.93663793900257,8.36194377373524,8.2667865406949,8.42206476617281
18777,2433,9.35093918154643,9.01122725542325,9.89026427702111,9.8703647195834,9.85953478638265,9.62935662007961,9.69174351917128,9.75321674917896,9.38586240064146,9.33762190199251,9.09011241966429,9.18487534290828
100503730,799,0,1,0,0,0,0,0,1,1.58496250072116,0,1.58496250072116,1.58496250072116
21399,2847,10.6483575820097,10.5468944598876,10.7498694273968,10.3641346550081,10.1799090900149,10.0593444608244,10.3826240265749,10.298062567719,10.0620461377205,9.85642552862553,8.9915218460757,8.96866679319521
58175,2241,2.32192809488736,1.58496250072116,3.90689059560852,2.32192809488736,1.58496250072116,1.58496250072116,7.4178525148859,7.37503943134692,7.11894107272351,5.93073733756289,4.8073549220576,4
108664,1976,9.58871463558226,9.55650605467193,10.0539258815311,9.94836723158468,9.96000193206808,9.82017896241519,10.4325419003883,10.4828079567267,10.7838167593202,10.6174674652942,10.3782948559119,10.3409627642517
18387,4707,0,0,0,0,0,0,0,0,0,0,0,0
226304,3692,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0
12421,7046,10.5459297690855,10.4645457503339,10.1774195379892,9.9188632372746,10.6474584264549,10.6238814900135,10.3026389237876,10.3847837500934,10.3320365483617,10.3208005488816,9.48784003382305,9.283088353024
620393,858,0,0,0,0,0,0,0,0,0,0,0,0
240690,6161,0,0,0,1,0,0,0,0,1,0,0,0
319263,5232,10.393390457444,10.2796105810525,10.4252159032994,10.6384359139905,10.9872640120725,10.9534689622288,10.0848083878044,9.90989308377004,10.0182001788132,10.1611318829843,10.4797802640291,10.5117526537674
71096,4193,1,0,1,0,0,0,0,0,0,0,0,0
59014,2048,10.72451385312,10.8209766926212,11.0552824355012,10.6917435191713,9.63299519714296,9.09011241966429,10.2384047393251,10.0660891904578,10.0728025345442,9.89026427702111,8.58496250072116,8.67948009950545
76187,3139,4.24792751344359,4,4,4.4594316186373,4.64385618977472,4.64385618977472,4.75488750216347,5.8073549220576,7.43462822763672,7.62935662007961,7.95419631038687,7.98299357469431
72481,1246,2.58496250072116,2,2,2.32192809488736,4.16992500144231,3.70043971814109,4.32192809488736,4,4.8073549220576,5.75488750216347,4.24792751344359,3.70043971814109
76982,3187,4.16992500144231,2.8073549220576,4,4.24792751344359,6.4093909361377,6.28540221886225,2.58496250072116,3.16992500144231,3.32192809488736,3,2.8073549220576,2.58496250072116
17864,3564,9.57931593758001,9.07146236255662,8.16490692667569,8.0389189892923,8.48784003382305,8.14465824283188,8.00562454919388,8.28540221886225,7.13955135239879,7.14974711950468,5.32192809488736,5.64385618977472
70675,5179,10.5526690975143,10.429406741514,10.1522848423066,9.99717948093762,10.2070143201775,9.90237511448603,10.5274770060604,10.6768386064742,10.4988492065317,10.3342732853072,8.88874324889826,8.75822321472672
73331,1494,1.58496250072116,1,1,1.58496250072116,0,1,0,0,1.58496250072116,0,1.58496250072116,1
170755,5622,8.13442632022093,7.86418614465428,7.18982455888002,7.19967234483636,7.73470962022584,7.86418614465428,7.70043971814109,7.40087943628218,5.8073549220576,5.88264304936184,5.4262647547021,5.20945336562895
620986,451,5.95419631038687,6.14974711950468,5.88264304936184,5.97727992349992,5.95419631038687,5.7279204545632,7,6.90689059560852,6.08746284125034,5.61470984411521,5.08746284125034,4.64385618977472
240697,2553,2.8073549220576,2,2.8073549220576,2.32192809488736,3.32192809488736,3.16992500144231,0,1,0,0,1,0
73824,407,8.46352437327118,8.51963625284321,8.73131903102506,8.50382573799575,7.61470984411521,7.2667865406949,8.66533591718518,8.55458885167764,7.69348695749933,7.59245703726808,6.55458885167764,6.55458885167764
266793,74,3.4594316186373,3.58496250072116,3.58496250072116,3.90689059560852,3.16992500144231,2,3.16992500144231,2.58496250072116,2,1.58496250072116,2,0
