No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
24865,2016,1,1,0,209,268,47,123,5300,13,-2.5,1024.5,-8.2,0,NNE,1.1,Aotizhongxin
24866,2016,1,1,1,211,248,66,119,5400,16,-3.5,1023.8,-7.3,0,NE,1,Aotizhongxin
24867,2016,1,1,2,167,192,64,115,4300,12,-4.7,1023.7,-7.3,0,ENE,0.8,Aotizhongxin
24868,2016,1,1,3,136,159,56,111,4100,9,-3.6,1023.1,-7.7,0,ENE,1.5,Aotizhongxin
24869,2016,1,1,4,108,121,46,107,3600,7,-5.1,1022.3,-7.7,0,E,1,Aotizhongxin
24870,2016,1,1,5,93,108,42,107,3400,7,-5.7,1021.7,-8.3,0,ENE,1.2,Aotizhongxin
24871,2016,1,1,6,107,126,36,108,4000,7,-6.3,1021.1,-8.4,0,ENE,0.7,Aotizhongxin
24872,2016,1,1,7,113,126,29,97,3700,7,-6.8,1021.1,-8.6,0,E,0.7,Aotizhongxin
24873,2016,1,1,8,89,94,26,85,2300,7,-6.8,1021.2,-8.8,0,ENE,0.9,Aotizhongxin
24874,2016,1,1,9,91,116,22,84,2800,6,-3.6,1021.5,-8.3,0,E,1.2,Aotizhongxin
24875,2016,1,1,10,107,130,29,88,3200,8,-2.1,1021.1,-8,0,ENE,1.4,Aotizhongxin
24876,2016,1,1,11,108,129,38,91,2800,11,-0.2,1020.6,-7.9,0,ENE,1.2,Aotizhongxin
24877,2016,1,1,12,123,147,48,100,3000,14,1.3,1019.2,-7.7,0,ESE,0.8,Aotizhongxin
24878,2016,1,1,13,130,145,55,103,2800,17,2.8,1017.7,-7.7,0,SW,1,Aotizhongxin
24879,2016,1,1,14,149,166,56,118,2900,18,4.3,1016.7,-7.2,0,SE,0.5,Aotizhongxin
24880,2016,1,1,15,168,188,60,135,3000,16,4.2,1016.7,-7,0,E,1.1,Aotizhongxin
24881,2016,1,1,16,177,197,55,147,3300,12,3.9,1016.4,-7,0,E,1,Aotizhongxin
24882,2016,1,1,17,180,214,48,150,3700,9,1.2,1017,-6.9,0,E,1.1,Aotizhongxin
24883,2016,1,1,18,198,238,51,152,3800,8,-1.2,1017.2,-6.7,0,E,1.2,Aotizhongxin
24884,2016,1,1,19,219,270,44,156,4200,9,-1.2,1017.2,-6.2,0,E,1.2,Aotizhongxin
24885,2016,1,1,20,231,274,38,158,4600,9,-2.4,1017.5,-6.1,0,E,0.7,Aotizhongxin
